FIPS,Pollution,PopChar,Score,Percentile,Range,Region
06037203100,8.675153936264682,8.639075174596192,74.94530700658464,99.70988900100907,96-100%,South Coast
06037201700,7.795583020760297,7.30316751907134,56.93244870944064,95.35822401614531,96-100%,South Coast
06037201602,5.915492960518316,6.270010552712105,37.09020328694401,74.21796165489405,71-75%,South Coast
06037201601,6.027735431911263,7.36033024777803,44.366123425099836,84.3087790110999,81-85%,South Coast
06037201504,3.8480946033972114,8.280834282801514,31.865433715275124,65.48940464177598,66-70%,South Coast
06037201503,3.563261220180858,8.741326579913292,31.1476300151412,64.11453077699294,61-65%,South Coast
06037201501,6.164769492473349,7.729901995454243,47.65306400138518,87.86579212916246,86-90%,South Coast
06037201402,7.711587701017218,7.258445801684889,55.97414137277325,94.85368314833501,91-95%,South Coast
06037201401,4.196080631448415,6.8249233872293305,28.6379288362723,59.88900100908173,56-60%,South Coast
06037201302,4.508711663136577,4.788321664941541,21.589161737571477,45.44651866801211,46-50%,South Coast
06037201301,4.404020292138057,7.719697554855455,33.997704680751966,69.412209889001,66-70%,South Coast
06037201200,3.6583757922015265,8.346032313525031,30.532922576731675,63.042381432896065,61-65%,South Coast
06037201120,4.629090623296684,7.111137358553309,32.918099267453876,67.4949545913219,66-70%,South Coast
06037201110,4.14820788718734,7.274183127968918,30.17482382428574,62.4117053481332,61-65%,South Coast
06037199900,8.062506528495119,7.32405134158702,59.05021175657878,96.45560040363269,96-100%,South Coast
06037199800,7.659214863170755,7.143449415292457,54.71321393591642,94.2103935418769,91-95%,South Coast
06037199700,8.907465786076658,7.953539500020849,70.84588097464496,99.48284561049445,96-100%,South Coast
06037199400,7.3718004301219056,7.15433024578203,52.74029478309013,92.74722502522704,91-95%,South Coast
06037199300,7.102847669172334,5.215942866161871,37.04804762945391,74.14228052472251,71-75%,South Coast
06037199202,6.348780582763692,7.053058769475377,44.77832256473645,84.7502522704339,81-85%,South Coast
06037199201,7.617288744532942,7.700259601664791,58.65510079374293,96.29162462159435,96-100%,South Coast
06037199120,6.325505925179206,6.747859514061851,42.68362533847512,82.1518668012109,81-85%,South Coast
06037199110,4.979761555577497,6.2374620502675535,31.061073722295955,64.01362260343087,61-65%,South Coast
06037199000,9.071777483595419,7.267468974166632,65.92886140257315,98.68819374369325,96-100%,South Coast
06037197700,8.398332406026627,6.457827908981479,54.23498540054233,93.85721493440968,91-95%,South Coast
06037197600,7.541443451226193,6.163561633286131,46.482151515574714,86.59182643794148,86-90%,South Coast
06037197500,7.408948198927414,7.006656815881376,51.91195739652681,92.10393541876893,91-95%,South Coast
06037197420,7.047680576955525,5.851280805295357,41.23795808179277,80.37336024217961,81-85%,South Coast
06037197410,8.387125325751969,3.6556152218590525,30.66010300845846,63.26942482341069,61-65%,South Coast
06037197300,6.993440750902833,6.384179248499217,44.64737931752265,84.62411705348133,81-85%,South Coast
06037197200,8.437675410260999,5.73591596846177,48.39779712241328,88.72351160443996,86-90%,South Coast
06037195903,6.738150292467725,5.925188602975755,39.92481131806751,78.46871846619577,76-80%,South Coast
06037195902,6.114188236487883,5.024498878959501,30.720731939980737,63.433400605449044,61-65%,South Coast
06037195901,5.9427671308537935,6.197394731567972,36.82967370768861,73.85216952573158,71-75%,South Coast
06037195804,6.464619386394208,6.706029069578228,43.35192552891852,82.9465186680121,81-85%,South Coast
06037195803,6.049789230097353,5.801828775526554,35.09984124104946,71.16548940464178,71-75%,South Coast
06037195802,7.314729857276708,8.101534815969659,59.260538608140024,96.58173562058526,96-100%,South Coast
06037195720,6.942153037610732,7.225332813634089,50.15936613991838,90.45156407669022,91-95%,South Coast
06037195710,6.952624741917157,7.690919109729386,53.472074490388,93.45358224016145,91-95%,South Coast
06037195600,6.756363624429818,6.729671934099926,45.468110659899004,85.64581231079717,86-90%,South Coast
06037195500,6.8862949668687525,3.899714549964583,26.854584677645953,56.458123107971744,56-60%,South Coast
06037195400,5.884128355634267,3.944577798734057,23.210402076536464,48.940464177598386,46-50%,South Coast
06037195300,6.060363037154851,4.685428318503264,28.395396594695786,59.523208879919274,56-60%,South Coast
06037195202,5.529926747894589,3.0104496718867364,16.647566163756952,33.07265388496468,31-35%,South Coast
06037195201,6.001054125920043,3.5233779326435437,21.14398167986617,44.31130171543895,41-45%,South Coast
06037195100,6.240556664868703,3.2154381308611404,20.066123858018454,41.82643794147326,41-45%,South Coast
06037194500,6.520623673742131,4.069954537719781,26.538641909709813,55.90312815338042,56-60%,South Coast
06037194402,6.003054670719612,2.32154109739784,13.936338128001637,25.59283551967709,26-30%,South Coast
06037194401,5.166940044850311,3.006858622594035,15.536258226284568,30.20938446014127,31-35%,South Coast
06037194300,5.2558009239071355,1.9070884221798379,10.023277091265394,15.401109989909182,16-20%,South Coast
06037194200,5.405045947392505,1.2727208688863436,6.879114774535999,8.249243188698284,6-10%,South Coast
06037194102,4.988982050436961,1.2991557422607591,6.481464678861035,7.492431886982846,6-10%,South Coast
06037194101,4.4122590022254915,2.432592245628102,10.733227034516517,17.318365287588293,16-20%,South Coast
